domainID,siteID,year,month,fishLifeStage,scientificName,taxonRank,taxonID,fish_month_tally,sum_fish_mass
D07,LECO,2016,10,NA,Oncorhynchus mykiss,species,ONCMYK,287,2907.2999999999993
D07,LECO,2016,10,NA,Rhinichthys atratulus,species,RHIATR,295,1098.799999999999
D07,LECO,2016,10,NA,Rhinichthys cataractae,species,RHICAT,101,579.5999999999999
D07,LECO,2016,10,NA,Salvelinus fontinalis,species,SALFON,5,57.400000000000006
D07,LECO,2017,11,adult,Oncorhynchus mykiss,species,ONCMYK,39,1358.7000000000003
D07,LECO,2017,11,adult,Rhinichthys atratulus,species,RHIATR,140,647.2000000000004
D07,LECO,2017,11,adult,Rhinichthys cataractae,species,RHICAT,80,536.8000000000001
D07,LECO,2017,11,juvenile,Oncorhynchus mykiss,species,ONCMYK,57,509.89999999999986
D07,LECO,2017,11,juvenile,Rhinichthys atratulus,species,RHIATR,36,36.1
D07,LECO,2017,11,juvenile,Rhinichthys cataractae,species,RHICAT,39,46.59999999999998
D07,LECO,2017,11,young of year,Rhinichthys atratulus,species,RHIATR,99,35.300000000000004
D07,LECO,2017,11,young of year,Rhinichthys cataractae,species,RHICAT,16,5.199999999999998
D07,LECO,2018,6,adult,Oncorhynchus mykiss,species,ONCMYK,37,2135.6
D07,LECO,2018,6,adult,Rhinichthys atratulus,species,RHIATR,89,539.1
D07,LECO,2018,6,adult,Rhinichthys cataractae,species,RHICAT,32,376.8999999999999
D07,LECO,2018,6,gravid female,Rhinichthys atratulus,species,RHIATR,6,29.400000000000002
D07,LECO,2018,6,larval,Oncorhynchus mykiss,species,ONCMYK,1,1.1
D07,LECO,2018,6,larval,Rhinichthys atratulus,species,RHIATR,1,0.6
D07,LECO,2018,6,young of year,Oncorhynchus mykiss,species,ONCMYK,30,34.2
D07,LECO,2018,6,young of year,Rhinichthys atratulus,species,RHIATR,126,138.39999999999998
D07,LECO,2018,6,young of year,Rhinichthys cataractae,species,RHICAT,39,88.00000000000001
D07,LECO,2018,6,NA,Oncorhynchus mykiss,species,ONCMYK,1,1.3
D07,LECO,2018,6,NA,Rhinichthys atratulus,species,RHIATR,54,112.19999999999997
D07,LECO,2018,6,NA,Rhinichthys cataractae,species,RHICAT,54,269.99999999999994
D07,LECO,2018,10,adult,Oncorhynchus mykiss,species,ONCMYK,14,1506.8
D07,LECO,2018,10,adult,Rhinichthys atratulus,species,RHIATR,319,931.7999999999994
D07,LECO,2018,10,adult,Rhinichthys cataractae,species,RHICAT,88,513.1999999999999
D07,LECO,2018,10,gravid female,Rhinichthys atratulus,species,RHIATR,1,7.1
D07,LECO,2018,10,juvenile,Oncorhynchus mykiss,species,ONCMYK,81,1314.8000000000002
D07,LECO,2018,10,juvenile,Rhinichthys atratulus,species,RHIATR,10,4.1
D07,LECO,2018,10,young of year,Rhinichthys atratulus,species,RHIATR,2,0.6
D07,LECO,2019,4,adult,Oncorhynchus mykiss,species,ONCMYK,9,747.1
D07,LECO,2019,4,adult,Rhinichthys atratulus,species,RHIATR,224,750.1000000000001
D07,LECO,2019,4,adult,Rhinichthys cataractae,species,RHICAT,55,254.90000000000006
D07,LECO,2019,4,gravid female,Rhinichthys atratulus,species,RHIATR,14,87.1
D07,LECO,2019,4,gravid female,Rhinichthys cataractae,species,RHICAT,7,75.4
D07,LECO,2019,4,juvenile,Oncorhynchus mykiss,species,ONCMYK,15,370.59999999999997
D07,LECO,2019,4,juvenile,Rhinichthys atratulus,species,RHIATR,8,6.3999999999999995
D07,LECO,2019,4,young of year,Rhinichthys atratulus,species,RHIATR,2,0.6
D07,LECO,2019,10,adult,Oncorhynchus mykiss,species,ONCMYK,78,3315.7999999999984
D07,LECO,2019,10,adult,Rhinichthys atratulus,species,RHIATR,358,1339.3999999999999
D07,LECO,2019,10,adult,Rhinichthys cataractae,species,RHICAT,151,763.1000000000001
D07,LECO,2019,10,adult,Salvelinus fontinalis,species,SALFON,1,28.9
D07,LECO,2019,10,gravid female,Rhinichthys atratulus,species,RHIATR,2,6.800000000000001
D07,LECO,2019,10,juvenile,Oncorhynchus mykiss,species,ONCMYK,61,475.69999999999993
D07,LECO,2019,10,juvenile,Rhinichthys atratulus,species,RHIATR,41,27.500000000000007
D07,LECO,2019,10,juvenile,Rhinichthys cataractae,species,RHICAT,1,0.9
D07,LECO,2019,10,juvenile,Salvelinus fontinalis,species,SALFON,1,5.3
D07,LECO,2019,10,young of year,Oncorhynchus mykiss,species,ONCMYK,15,61.8
D07,LECO,2019,10,young of year,Rhinichthys atratulus,species,RHIATR,34,10.400000000000002
D07,LECO,2021,5,adult,Oncorhynchus mykiss,species,ONCMYK,33,2023.5
D07,LECO,2021,5,adult,Rhinichthys atratulus,species,RHIATR,213,1062.9000000000003
D07,LECO,2021,5,adult,Rhinichthys cataractae,species,RHICAT,103,745.8
D07,LECO,2021,5,adult,Salvelinus fontinalis,species,SALFON,1,55.3
D07,LECO,2021,5,gravid female,Rhinichthys atratulus,species,RHIATR,14,64
D07,LECO,2021,5,gravid female,Rhinichthys cataractae,species,RHICAT,2,20
